x_id,organization_entity,feature_category,cost_element_long_name,amount,date
33,1 - Toronto Police Service,4-Materials & Supplies,Stationery and office supplies,6600,2023-12-31
34,1 - Toronto Police Service,6-Services,Courses / seminars,18900,2023-12-31
35,1 - Toronto Police Service,6-Services,Membership fees,100,2023-12-31
36,1 - Toronto Police Service,6-Services,Parking expenses,100,2023-12-31
37,1 - Toronto Police Service,6-Services,Public relations / promotions,600,2023-12-31
38,1 - Toronto Police Service,6-Services,Service contracts,1700,2023-12-31
39,1 - Toronto Police Service,6-Services,Wireless services,600,2023-12-31
40,1 - Toronto Police Service,1-Salaries,Alternate rate - Civilian A,3500,2023-12-31
41,1 - Toronto Police Service,1-Salaries,Alternate rate - Uniform,17400,2023-12-31
42,1 - Toronto Police Service,1-Salaries,Regular salaries - Civilian A,364000,2023-12-31
43,1 - Toronto Police Service,1-Salaries,Regular salaries - Uniform,4767100,2023-12-31
44,1 - Toronto Police Service,1-Salaries,Regular salaries - Uniform Sr. Officer,550900,2023-12-31
45,1 - Toronto Police Service,1-Salaries,Shift Bonus - Uniform,500,2023-12-31
46,1 - Toronto Police Service,2-Premium Pay,Callback premium pay - Civilian,3400,2023-12-31
47,1 - Toronto Police Service,2-Premium Pay,Callback premium pay - Uniform,39700,2023-12-31
48,1 - Toronto Police Service,2-Premium Pay,Court premium pay - Uniform,1300,2023-12-31
49,1 - Toronto Police Service,2-Premium Pay,Lieutime premium pay - Civilian,1200,2023-12-31
50,1 - Toronto Police Service,2-Premium Pay,Lieutime premium pay - Uniform,54600,2023-12-31
51,1 - Toronto Police Service,1-Salaries,Paid duty officers - earnings,24667000,2023-12-31
52,1 - Toronto Police Service,1-Salaries,Regular salaries - Civilian C,1036500,2023-12-31
53,1 - Toronto Police Service,1-Salaries,Regular salaries - Uniform,618200,2023-12-31
54,1 - Toronto Police Service,2-Premium Pay,Callback (Command Initiatives) - Uniform,405600,2023-12-31
55,1 - Toronto Police Service,2-Premium Pay,Callback premium pay - Civilian,1006600,2023-12-31
56,1 - Toronto Police Service,2-Premium Pay,Callback premium pay - Contract,165200,2023-12-31
57,1 - Toronto Police Service,2-Premium Pay,Callback premium pay - Uniform,600800,2023-12-31
58,1 - Toronto Police Service,2-Premium Pay,Court premium pay - Uniform,1526200,2023-12-31
59,1 - Toronto Police Service,2-Premium Pay,Lieutime premium pay - Civilian,1192900,2023-12-31
60,1 - Toronto Police Service,2-Premium Pay,Lieutime premium pay - Contract,194900,2023-12-31
61,1 - Toronto Police Service,2-Premium Pay,Lieutime premium pay - Uniform,3561100,2023-12-31
62,1 - Toronto Police Service,2-Premium Pay,Overtime premium pay - Civilian,267800,2023-12-31
63,1 - Toronto Police Service,2-Premium Pay,Overtime premium pay - Contract,262700,2023-12-31
64,1 - Toronto Police Service,3-Benefits,A.D.&D. Insurance,726200,2023-12-31
65,1 - Toronto Police Service,3-Benefits,Comprehensive Medical,32552000,2023-12-31
66,1 - Toronto Police Service,3-Benefits,Dental Plan,13561300,2023-12-31
67,1 - Toronto Police Service,3-Benefits,Group Life Insurance,2531700,2023-12-31
68,1 - Toronto Police Service,3-Benefits,Long-term Disability - Association,226000,2023-12-31
69,1 - Toronto Police Service,3-Benefits,Long-term Disability - Sr. Officer,410600,2023-12-31
70,1 - Toronto Police Service,3-Benefits,Medical/dental - retiree,2554800,2023-12-31
71,1 - Toronto Police Service,3-Benefits,Medical/dental admin. fees & taxes,6098700,2023-12-31
72,1 - Toronto Police Service,3-Benefits,Ontario Health Tax,18215100,2023-12-31
73,1 - Toronto Police Service,3-Benefits,Paid-up Life - retiree,1004900,2023-12-31
74,1 - Toronto Police Service,3-Benefits,Widow & pension allowance,300000,2023-12-31
75,1 - Toronto Police Service,3-Benefits,WSIB - Administration costs,8493500,2023-12-31
76,1 - Toronto Police Service,3-Benefits,WSIB - Medical / dental,10555800,2023-12-31
77,1 - Toronto Police Service,4-Materials & Supplies,Ammunition/Firearms supplies,2037300,2023-12-31
78,1 - Toronto Police Service,4-Materials & Supplies,Gasoline,12411400,2023-12-31
79,1 - Toronto Police Service,4-Materials & Supplies,Health & Safety supplies,175000,2023-12-31
80,1 - Toronto Police Service,4-Materials & Supplies,Miscellaneous materials,103900,2023-12-31
81,1 - Toronto Police Service,4-Materials & Supplies,Parts - bicycles,104100,2023-12-31
82,1 - Toronto Police Service,4-Materials & Supplies,Parts - miscellaneous,100000,2023-12-31
83,1 - Toronto Police Service,4-Materials & Supplies,Parts - tires/tubes,475000,2023-12-31
84,1 - Toronto Police Service,4-Materials & Supplies,Parts - vehicles,2144300,2023-12-31
85,1 - Toronto Police Service,4-Materials & Supplies,Photo / Video supplies,32000,2023-12-31
86,1 - Toronto Police Service,4-Materials & Supplies,Stationery and office supplies,65700,2023-12-31
87,1 - Toronto Police Service,4-Materials & Supplies,Traffic enforcement supplies,86100,2023-12-31
88,1 - Toronto Police Service,4-Materials & Supplies,Uniforms,5333300,2023-12-31
89,1 - Toronto Police Service,5-Equipment,Accommodation equipment,75000,2023-12-31
90,1 - Toronto Police Service,5-Equipment,Computers - software,25500,2023-12-31
91,1 - Toronto Police Service,5-Equipment,Firearms,367600,2023-12-31
92,1 - Toronto Police Service,5-Equipment,General equipment,273500,2023-12-31
93,1 - Toronto Police Service,5-Equipment,Marine equipment,46700,2023-12-31
94,1 - Toronto Police Service,5-Equipment,Printers,75000,2023-12-31
95,1 - Toronto Police Service,5-Equipment,Vehicle preparation,612100,2023-12-31
96,1 - Toronto Police Service,6-Services,3rd party claims,45000,2023-12-31
97,1 - Toronto Police Service,6-Services,Business travel - other expenses,12500,2023-12-31
98,1 - Toronto Police Service,6-Services,Clean/repair furniture,23000,2023-12-31
99,1 - Toronto Police Service,6-Services,Cleaning contracts (uniforms),1802700,2023-12-31
100,1 - Toronto Police Service,6-Services,Clothing reimbursement,1442700,2023-12-31
101,1 - Toronto Police Service,7-Revenues,Training recoveries,-15000,2023-12-31
102,1 - Toronto Police Service,7-Revenues,Witness fees,-3000,2023-12-31
103,1 - Toronto Police Service,1-Salaries,Maternal/Parental top up - Civilian,926700,2023-12-31
104,1 - Toronto Police Service,1-Salaries,Maternal/Parental top up - Uniform,1721000,2023-12-31
105,1 - Toronto Police Service,1-Salaries,Regular salaries - Chief/Command,25400,2023-12-31
106,1 - Toronto Police Service,1-Salaries,Regular salaries - Civilian A,2393700,2023-12-31
107,1 - Toronto Police Service,1-Salaries,Regular salaries - Civilian B,-161800,2023-12-31
108,1 - Toronto Police Service,1-Salaries,Regular salaries - Civilian C,-4039600,2023-12-31
109,1 - Toronto Police Service,1-Salaries,Regular salaries - Civilian Sr. Officer,-834500,2023-12-31
110,1 - Toronto Police Service,1-Salaries,Regular salaries - Uniform,-7742100,2023-12-31
111,1 - Toronto Police Service,1-Salaries,Regular salaries - Uniform Sr. Officer,890900,2023-12-31
112,1 - Toronto Police Service,3-Benefits,CPP - Civilian,-1084000,2023-12-31
113,1 - Toronto Police Service,3-Benefits,CPP - Uniform,-158700,2023-12-31
114,1 - Toronto Police Service,3-Benefits,EI - Civilian,-333800,2023-12-31
115,1 - Toronto Police Service,3-Benefits,EI - Uniform,-183200,2023-12-31
116,1 - Toronto Police Service,1-Salaries,Regular salaries - Civilian Sr. Officer,803300,2023-12-31
117,1 - Toronto Police Service,3-Benefits,OMERS - Civilian,-1580900,2023-12-31
118,1 - Toronto Police Service,3-Benefits,OMERS - Uniform,410900,2023-12-31
119,1 - Toronto Police Service,7-Revenues,Secondments - benefits,-504700,2023-12-31
120,1 - Toronto Police Service,7-Revenues,Secondments - salaries,-1736100,2023-12-31
121,1 - Toronto Police Service,2-Premium Pay,Callback premium pay - Uniform,812100,2023-12-31
122,1 - Toronto Police Service,4-Materials & Supplies,Health & Safety supplies,561600,2023-12-31
123,1 - Toronto Police Service,4-Materials & Supplies,Stationery and office supplies,5000,2023-12-31
124,1 - Toronto Police Service,6-Services,Contracted Services - general,622400,2023-12-31
125,1 - Toronto Police Service,6-Services,Maintenance - computer,340700,2023-12-31
126,1 - Toronto Police Service,6-Services,Services & rents - general,2000,2023-12-31
127,1 - Toronto Police Service,6-Services,Wireless services,11000,2023-12-31
128,1 - Toronto Police Service,7-Revenues,Alarm Fees,175300,2023-12-31
129,1 - Toronto Police Service,7-Revenues,Criminal record checks,1869600,2023-12-31
130,1 - Toronto Police Service,7-Revenues,Paid duty - administration fee,605400,2023-12-31
131,1 - Toronto Police Service,7-Revenues,Paid duty - equipment rental,31600,2023-12-31
132,1 - Toronto Police Service,7-Revenues,Recoveries - Prisoner Return,479400,2023-12-31
133,1 - Toronto Police Service,7-Revenues,Sale - accident reports,238700,2023-12-31
134,1 - Toronto Police Service,1-Salaries,Regular salaries - Uniform,1049700,2023-12-31
135,1 - Toronto Police Service,1-Salaries,Regular salaries - Uniform Sr. Officer,197200,2023-12-31
136,1 - Toronto Police Service,3-Benefits,CPP - Uniform,34200,2023-12-31
137,1 - Toronto Police Service,3-Benefits,EI - Uniform,11700,2023-12-31
138,1 - Toronto Police Service,3-Benefits,OMERS - Uniform,155900,2023-12-31
139,1 - Toronto Police Service,3-Benefits,Central sick bank (Association),7811000,2023-12-31
140,1 - Toronto Police Service,3-Benefits,Health care benefits - retiree,3332700,2023-12-31
141,1 - Toronto Police Service,3-Benefits,Sick Pay Credit Grant,17030300,2023-12-31
142,1 - Toronto Police Service,6-Services,Bargaining expenses,150000,2023-12-31
143,1 - Toronto Police Service,6-Services,Consulting - External lawyers / planners,150000,2023-12-31
144,1 - Toronto Police Service,6-Services,Contracted Services - general,5000000,2023-12-31
145,1 - Toronto Police Service,6-Services,Contribution to Reserve - general,930000,2023-12-31
146,1 - Toronto Police Service,6-Services,Contribution to Reserve - Vehicle and Equipment,20766000,2023-12-31
147,1 - Toronto Police Service,6-Services,Contribution to Reserve Funds - general,2016700,2023-12-31
148,1 - Toronto Police Service,6-Services,Contribution to Reserve Funds - sick leave,12282600,2023-12-31
149,1 - Toronto Police Service,6-Services,Legal indemnification/inquests,2430300,2023-12-31
150,1 - Toronto Police Service,6-Services,Professional / technical services - legal,540000,2023-12-31
151,1 - Toronto Police Service,7-Revenues,Draws from Reserve Funds,-28174000,2023-12-31
152,1 - Toronto Police Service,2-Premium Pay,Overtime premium pay - Civilian,4200,2023-12-31
153,1 - Toronto Police Service,1-Salaries,Regular salaries - Uniform,656900,2023-12-31
154,1 - Toronto Police Service,2-Premium Pay,Callback premium pay - Uniform,300,2023-12-31
155,1 - Toronto Police Service,2-Premium Pay,Lieutime premium pay - Civilian,600,2023-12-31
156,1 - Toronto Police Service,2-Premium Pay,Lieutime premium pay - Uniform,2600,2023-12-31
157,1 - Toronto Police Service,2-Premium Pay,Overtime premium pay - Civilian,1500,2023-12-31
158,1 - Toronto Police Service,2-Premium Pay,Overtime premium pay - Uniform,2300,2023-12-31
159,1 - Toronto Police Service,3-Benefits,CPP - Civilian,30400,2023-12-31
160,1 - Toronto Police Service,3-Benefits,CPP - Uniform,19000,2023-12-31
161,1 - Toronto Police Service,3-Benefits,EI - Civilian,10400,2023-12-31
162,1 - Toronto Police Service,3-Benefits,EI - Uniform,6500,2023-12-31
163,1 - Toronto Police Service,3-Benefits,OMERS - Civilian,123300,2023-12-31
164,1 - Toronto Police Service,3-Benefits,OMERS - Uniform,81500,2023-12-31
165,1 - Toronto Police Service,4-Materials & Supplies,Books & Magazines,700,2023-12-31
166,1 - Toronto Police Service,4-Materials & Supplies,Stationery and office supplies,4000,2023-12-31
167,1 - Toronto Police Service,6-Services,Conferences / seminars,3400,2023-12-31
168,1 - Toronto Police Service,6-Services,Courses / seminars,17500,2023-12-31
169,1 - Toronto Police Service,6-Services,Maintenance - computer,1600,2023-12-31
170,1 - Toronto Police Service,2-Premium Pay,Overtime premium pay - Uniform,82500,2023-12-31
171,1 - Toronto Police Service,3-Benefits,CPP - Civilian,19000,2023-12-31
172,1 - Toronto Police Service,3-Benefits,CPP - Uniform,144400,2023-12-31
173,1 - Toronto Police Service,3-Benefits,EI - Civilian,6500,2023-12-31
174,1 - Toronto Police Service,6-Services,Membership fees,12300,2023-12-31
175,1 - Toronto Police Service,3-Benefits,EI - Uniform,49400,2023-12-31
176,1 - Toronto Police Service,6-Services,Public relations / promotions,100,2023-12-31
177,1 - Toronto Police Service,3-Benefits,OMERS - Civilian,34000,2023-12-31
178,1 - Toronto Police Service,6-Services,Services & rents - general,100,2023-12-31
179,1 - Toronto Police Service,3-Benefits,OMERS - Uniform,668300,2023-12-31
180,1 - Toronto Police Service,6-Services,Wireless services,400,2023-12-31
181,1 - Toronto Police Service,4-Materials & Supplies,Books & Magazines,800,2023-12-31
182,1 - Toronto Police Service,1-Salaries,Alternate rate - Civilian A,12200,2023-12-31
183,1 - Toronto Police Service,4-Materials & Supplies,Miscellaneous materials,300,2023-12-31
184,1 - Toronto Police Service,1-Salaries,Alternate rate - Uniform,14900,2023-12-31
185,1 - Toronto Police Service,1-Salaries,Alternate rate - Uniform Sr. Officer,400,2023-12-31
186,1 - Toronto Police Service,1-Salaries,Regular salaries - Civilian A,1409500,2023-12-31
187,1 - Toronto Police Service,1-Salaries,Regular salaries - Civilian Sr. Officer,247700,2023-12-31
188,1 - Toronto Police Service,1-Salaries,Regular salaries - Uniform,1269300,2023-12-31
189,1 - Toronto Police Service,1-Salaries,Regular salaries - Uniform Sr. Officer,596000,2023-12-31
190,1 - Toronto Police Service,1-Salaries,Shift Bonus - Civilian A,600,2023-12-31
191,1 - Toronto Police Service,4-Materials & Supplies,Stationery and office supplies,10400,2023-12-31
192,1 - Toronto Police Service,1-Salaries,Shift Bonus - Uniform,900,2023-12-31
193,1 - Toronto Police Service,2-Premium Pay,Callback premium pay - Civilian,1000,2023-12-31
194,1 - Toronto Police Service,2-Premium Pay,Lieutime premium pay - Civilian,1500,2023-12-31
195,1 - Toronto Police Service,5-Equipment,Computers - hardware,7100,2023-12-31
196,1 - Toronto Police Service,2-Premium Pay,Lieutime premium pay - Uniform,4400,2023-12-31
197,1 - Toronto Police Service,6-Services,Business travel - other expenses,200,2023-12-31
198,1 - Toronto Police Service,2-Premium Pay,Overtime premium pay - Civilian,1400,2023-12-31
199,1 - Toronto Police Service,6-Services,Conferences / seminars,4800,2023-12-31
200,1 - Toronto Police Service,2-Premium Pay,Overtime premium pay - Uniform,5000,2023-12-31
201,1 - Toronto Police Service,6-Services,Contracted services - Cable TV,900,2023-12-31
202,1 - Toronto Police Service,3-Benefits,CPP - Civilian,60900,2023-12-31
203,1 - Toronto Police Service,6-Services,Courier services,200,2023-12-31
204,1 - Toronto Police Service,3-Benefits,CPP - Uniform,49400,2023-12-31
205,1 - Toronto Police Service,6-Services,Courses / seminars,3800,2023-12-31
206,1 - Toronto Police Service,3-Benefits,EI - Civilian,20700,2023-12-31
207,1 - Toronto Police Service,6-Services,Investigative expenses,16000,2023-12-31
208,1 - Toronto Police Service,3-Benefits,EI - Uniform,16900,2023-12-31
209,1 - Toronto Police Service,6-Services,Parking expenses,200,2023-12-31
210,1 - Toronto Police Service,3-Benefits,OMERS - Civilian,179600,2023-12-31
211,1 - Toronto Police Service,6-Services,Public relations / promotions,700,2023-12-31
212,1 - Toronto Police Service,3-Benefits,OMERS - Uniform,234300,2023-12-31
213,1 - Toronto Police Service,6-Services,Services & rents - general,300,2023-12-31
214,1 - Toronto Police Service,4-Materials & Supplies,Books & Magazines,1500,2023-12-31
215,1 - Toronto Police Service,6-Services,Wireless devices,1400,2023-12-31
216,1 - Toronto Police Service,4-Materials & Supplies,Health & Safety supplies,200,2023-12-31
217,1 - Toronto Police Service,6-Services,Wireless services,13800,2023-12-31
218,1 - Toronto Police Service,4-Materials & Supplies,Miscellaneous materials,300,2023-12-31
219,1 - Toronto Police Service,1-Salaries,Alternate rate - Civilian A,6300,2023-12-31
220,1 - Toronto Police Service,4-Materials & Supplies,Stationery and office supplies,12900,2023-12-31
221,1 - Toronto Police Service,1-Salaries,Regular salaries - Civilian A,285800,2023-12-31
222,1 - Toronto Police Service,5-Equipment,Computers - hardware,13200,2023-12-31
223,1 - Toronto Police Service,1-Salaries,Regular salaries - Uniform,279900,2023-12-31
224,1 - Toronto Police Service,6-Services,Business travel - other expenses,2000,2023-12-31
225,1 - Toronto Police Service,1-Salaries,Regular salaries - Uniform Sr. Officer,219200,2023-12-31
226,1 - Toronto Police Service,6-Services,Conferences / seminars,7000,2023-12-31
227,1 - Toronto Police Service,2-Premium Pay,Callback premium pay - Uniform,500,2023-12-31
228,1 - Toronto Police Service,6-Services,Contracted Services - general,50000,2023-12-31
229,1 - Toronto Police Service,2-Premium Pay,Lieutime premium pay - Civilian,1000,2023-12-31
230,1 - Toronto Police Service,2-Premium Pay,Lieutime premium pay - Uniform,3300,2023-12-31
231,1 - Toronto Police Service,2-Premium Pay,Overtime premium pay - Uniform,2000,2023-12-31
232,1 - Toronto Police Service,3-Benefits,CPP - Civilian,15200,2023-12-31
233,1 - Toronto Police Service,3-Benefits,CPP - Uniform,11400,2023-12-31
234,1 - Toronto Police Service,3-Benefits,EI - Civilian,5200,2023-12-31
235,1 - Toronto Police Service,3-Benefits,EI - Uniform,3900,2023-12-31
236,1 - Toronto Police Service,3-Benefits,OMERS - Civilian,26300,2023-12-31
237,1 - Toronto Police Service,3-Benefits,OMERS - Uniform,64700,2023-12-31
238,1 - Toronto Police Service,4-Materials & Supplies,Health & Safety supplies,100,2023-12-31
239,1 - Toronto Police Service,4-Materials & Supplies,Stationery and office supplies,7700,2023-12-31
240,1 - Toronto Police Service,5-Equipment,Computers - hardware,300,2023-12-31
241,1 - Toronto Police Service,6-Services,Business travel - other expenses,2800,2023-12-31
242,1 - Toronto Police Service,6-Services,Conferences / seminars,3300,2023-12-31
243,1 - Toronto Police Service,6-Services,Courier services,300,2023-12-31
244,1 - Toronto Police Service,6-Services,Courses / seminars,2200,2023-12-31
245,1 - Toronto Police Service,6-Services,Membership fees,200,2023-12-31
246,1 - Toronto Police Service,6-Services,Parking expenses,100,2023-12-31
247,1 - Toronto Police Service,6-Services,Public relations / promotions,21100,2023-12-31
248,1 - Toronto Police Service,6-Services,Services & rents - general,100,2023-12-31
249,1 - Toronto Police Service,6-Services,Wireless services,2300,2023-12-31
250,1 - Toronto Police Service,1-Salaries,Regular salaries - Civilian A,275200,2023-12-31
251,1 - Toronto Police Service,6-Services,Courses / seminars,54000,2023-12-31
252,1 - Toronto Police Service,6-Services,Membership fees,2500,2023-12-31
253,1 - Toronto Police Service,6-Services,Parking expenses,700,2023-12-31
254,1 - Toronto Police Service,6-Services,Public relations / promotions,2000,2023-12-31
255,1 - Toronto Police Service,6-Services,Repairs - technical equipment,200,2023-12-31
256,1 - Toronto Police Service,6-Services,Services & rents - general,200,2023-12-31
257,1 - Toronto Police Service,6-Services,Wireless services,6200,2023-12-31
258,1 - Toronto Police Service,1-Salaries,Recruits - Uniform,8170600,2023-12-31
259,1 - Toronto Police Service,1-Salaries,Regular salaries - Civilian C,336600,2023-12-31
260,1 - Toronto Police Service,1-Salaries,Temporary - short-term,660000,2023-12-31
261,1 - Toronto Police Service,2-Premium Pay,Callback premium pay - Uniform,5014200,2023-12-31
262,1 - Toronto Police Service,2-Premium Pay,Court premium pay - Uniform,4226100,2023-12-31
263,1 - Toronto Police Service,2-Premium Pay,Lieutime premium pay - Uniform,21663700,2023-12-31
264,1 - Toronto Police Service,2-Premium Pay,Overtime premium pay - Uniform,3785200,2023-12-31
265,1 - Toronto Police Service,3-Benefits,CPP - Civilian,19200,2023-12-31
266,1 - Toronto Police Service,3-Benefits,EI - Civilian,6400,2023-12-31
267,1 - Toronto Police Service,3-Benefits,OMERS - Civilian,29800,2023-12-31
268,1 - Toronto Police Service,1-Salaries,Regular salaries - Chief/Command,219200,2023-12-31
269,1 - Toronto Police Service,1-Salaries,Regular salaries - Civilian Sr. Officer,105600,2023-12-31
270,1 - Toronto Police Service,1-Salaries,Regular salaries - Uniform,19494100,2023-12-31
271,1 - Toronto Police Service,1-Salaries,Regular salaries - Uniform Sr. Officer,219200,2023-12-31
272,1 - Toronto Police Service,3-Benefits,CPP - Civilian,3800,2023-12-31
273,1 - Toronto Police Service,3-Benefits,CPP - Uniform,538000,2023-12-31
274,1 - Toronto Police Service,3-Benefits,EI - Civilian,1300,2023-12-31
275,1 - Toronto Police Service,3-Benefits,EI - Uniform,177900,2023-12-31
276,1 - Toronto Police Service,3-Benefits,OMERS - Civilian,10900,2023-12-31
277,1 - Toronto Police Service,3-Benefits,OMERS - Uniform,2038000,2023-12-31
278,1 - Toronto Police Service,4-Materials & Supplies,Miscellaneous materials,100,2023-12-31
279,1 - Toronto Police Service,4-Materials & Supplies,Stationery and office supplies,1800,2023-12-31
280,1 - Toronto Police Service,6-Services,Business travel - other expenses,1800,2023-12-31
281,1 - Toronto Police Service,6-Services,Conferences / seminars,1800,2023-12-31
282,1 - Toronto Police Service,6-Services,Courses / seminars,2000,2023-12-31
283,1 - Toronto Police Service,6-Services,Membership fees,1200,2023-12-31
284,1 - Toronto Police Service,6-Services,Parking expenses,200,2023-12-31
285,1 - Toronto Police Service,6-Services,Public relations / promotions,2500,2023-12-31
286,1 - Toronto Police Service,6-Services,Services & rents - general,100,2023-12-31
287,1 - Toronto Police Service,6-Services,Special Events expenses,18500,2023-12-31
288,1 - Toronto Police Service,6-Services,Wireless services,3000,2023-12-31
289,1 - Toronto Police Service,1-Salaries,Alternate rate - Civilian A,5700,2023-12-31
290,1 - Toronto Police Service,1-Salaries,Alternate rate - Uniform,19200,2023-12-31
291,1 - Toronto Police Service,1-Salaries,Alternate rate - Uniform Sr. Officer,600,2023-12-31
292,1 - Toronto Police Service,1-Salaries,Regular salaries - Civilian A,281800,2023-12-31
293,1 - Toronto Police Service,1-Salaries,Regular salaries - Civilian C,329800,2023-12-31
294,1 - Toronto Police Service,1-Salaries,Regular salaries - Uniform,15529400,2023-12-31
295,1 - Toronto Police Service,1-Salaries,Regular salaries - Uniform Sr. Officer,376900,2023-12-31
296,1 - Toronto Police Service,1-Salaries,Shift Bonus - Civilian C,3700,2023-12-31
297,1 - Toronto Police Service,1-Salaries,Shift Bonus - Uniform,49900,2023-12-31
298,1 - Toronto Police Service,1-Salaries,Statutory Holiday - Uniform,6000,2023-12-31
299,1 - Toronto Police Service,2-Premium Pay,Lieutime premium pay - Civilian,6700,2023-12-31
300,1 - Toronto Police Service,2-Premium Pay,Overtime premium pay - Civilian,400,2023-12-31
301,1 - Toronto Police Service,6-Services,Conferences / seminars,43500,2023-12-31
302,1 - Toronto Police Service,6-Services,Contracted services - Cable TV,51000,2023-12-31
303,1 - Toronto Police Service,6-Services,Contracted services - electrical,133000,2023-12-31
304,1 - Toronto Police Service,6-Services,Contracted Services - general,881200,2023-12-31
305,1 - Toronto Police Service,6-Services,Courier services,1800,2023-12-31
306,1 - Toronto Police Service,6-Services,Courses - Canadian / Ontario Police College,1383400,2023-12-31
307,1 - Toronto Police Service,6-Services,Courses / seminars,927600,2023-12-31
308,1 - Toronto Police Service,6-Services,Laundry services,80000,2023-12-31
309,1 - Toronto Police Service,6-Services,Licenses - vehicle,51100,2023-12-31
310,1 - Toronto Police Service,6-Services,Lock repairs,125000,2023-12-31
311,1 - Toronto Police Service,6-Services,Long-distance calls,18000,2023-12-31
312,1 - Toronto Police Service,6-Services,Maintenance - computer,73000,2023-12-31
313,1 - Toronto Police Service,6-Services,Membership fees,49500,2023-12-31
314,1 - Toronto Police Service,6-Services,Other expenses,2633000,2023-12-31
315,1 - Toronto Police Service,6-Services,P.E.U. - towing charges,4000,2023-12-31
316,1 - Toronto Police Service,6-Services,Parking expenses,450000,2023-12-31
317,1 - Toronto Police Service,6-Services,Personal property care,3000,2023-12-31
318,1 - Toronto Police Service,6-Services,Rental - office equipment,80000,2023-12-31
319,1 - Toronto Police Service,6-Services,Rental - other,37100,2023-12-31
320,1 - Toronto Police Service,6-Services,Rental - vehicles,732900,2023-12-31
321,1 - Toronto Police Service,6-Services,Repairs - Gas pumps / tanks,90000,2023-12-31
322,1 - Toronto Police Service,6-Services,Repairs - vehicles,203800,2023-12-31
323,1 - Toronto Police Service,6-Services,Repairs and maintenance (other),115000,2023-12-31
324,1 - Toronto Police Service,6-Services,Return of prisoners,50000,2023-12-31
325,1 - Toronto Police Service,6-Services,Rewards & Information,20000,2023-12-31
326,1 - Toronto Police Service,6-Services,Service contracts,171000,2023-12-31
327,1 - Toronto Police Service,6-Services,Service contracts,244000,2023-12-31
328,1 - Toronto Police Service,6-Services,Services & rents - general,267800,2023-12-31
329,1 - Toronto Police Service,6-Services,Shredding services,50000,2023-12-31
330,1 - Toronto Police Service,6-Services,Telephone,2618700,2023-12-31
331,1 - Toronto Police Service,6-Services,"Transfer, haulage and storage",55000,2023-12-31
332,1 - Toronto Police Service,6-Services,Tuition fees,7500,2023-12-31
333,1 - Toronto Police Service,6-Services,Washes - licensed mobile equipment,530900,2023-12-31
334,1 - Toronto Police Service,6-Services,Wireless devices,105200,2023-12-31
335,1 - Toronto Police Service,6-Services,Wireless services,1411300,2023-12-31
336,1 - Toronto Police Service,7-Revenues,Alarm Fees,-640200,2023-12-31
